game_id,title,platform,release_date,timestamp
730,Counter-Strike: Global Offensive,Steam,"Aug 21, 2012",2026-02-25T17:56:48.536127
1172470,Apex Legends,Steam,"Nov 4, 2020",2026-02-25T17:56:49.277935
578080,PUBG: BATTLEGROUNDS,Steam,"Dec 21, 2017",2026-02-25T17:56:49.974382
1623730,Palworld,Steam,"Jan 18, 2024",2026-02-25T17:56:50.681695
440,Team Fortress 2,Steam,"Oct 10, 2007",2026-02-25T17:56:51.395930
1938090,Call of Duty: Modern Warfare II,Steam,"Oct 27, 2022",2026-02-25T17:56:52.152500
1063730,New World: Aeternum,Steam,"Sep 28, 2021",2026-02-25T17:56:52.867900
2358720,Black Myth: Wukong,Steam,"Aug 19, 2024",2026-02-25T17:56:53.634245
271590,Grand Theft Auto V Legacy,Steam,"Apr 13, 2015",2026-02-25T17:56:54.426562
550,Left 4 Dead 2,Steam,"Nov 16, 2009",2026-02-25T17:56:55.117149
